year,state,food_beverage,housing_utilities,population,hc-key
2021,Johor,1725,1468.7,12831840,my-jh
2021,Kedah,1575.2,1473,6868066.8,my-kh
2021,Kelantan,1615.1,1388.7,5785061.1,my-kn
2021,Melaka,1663.7,1480.5,3206364,my-me
2021,Negeri Sembilan,1634.7,1435.7,5112147.6,my-ns
2021,Pahang,1635.1,1399,3843168,my-ph
2021,Perak,1566,1362.9,8030234.1,my-pk
2021,Perlis,1495.1,1346,918019.2,my-pl
2021,Pulau Pinang,1696.2,1488.9,5553681,my-pg
2021,Sabah,1488.1,1282.8,10893218.7,my-sa
2021,Sarawak,1565.1,1306.8,7870115.4,my-sk
2021,Selangor,1714,1519.4,22391520.9,my-sl
2021,Terengganu,1566.1,1361.5,3737034,my-te
2021,W.P. Kuala Lumpur,1675.2,1535.3,6269008.2,my-kl
2021,W.P. Labuan,1498,1423.8,305913.3,my-la
2021,W.P. Putrajaya,1779.5,1445.7,367319.4,my-pj
2022,Johor,1831,1487.5,12858014.4,my-jh
2022,Kedah,1633.2,1501.1,6904655.1,my-kh
2022,Kelantan,1687.6,1407.9,5843235.3,my-kn
2022,Melaka,1740.6,1510.3,3218892.6,my-me
2022,Negeri Sembilan,1713,1462.9,5152566.3,my-ns
2022,Pahang,1715.9,1424.4,3855018.3,my-ph
2022,Perak,1650.4,1390.7,8026124.4,my-pk
2022,Perlis,1568.4,1378.1,925041.6,my-pl
2022,Pulau Pinang,1798.3,1511.9,5556912.9,my-pg
2022,Sabah,1563.5,1306.4,10900959.3,my-sa
2022,Sarawak,1645,1316.2,7895451.9,my-sk
2022,Selangor,1839.7,1550.4,22504278.3,my-sl
2022,Terengganu,1643,1379.3,3787786.8,my-te
2022,W.P. Kuala Lumpur,1759.8,1562.7,6260509.5,my-kl
2022,W.P. Labuan,1549.8,1440.2,308985.6,my-la
2022,W.P. Putrajaya,1916.5,1565.6,373025.1,my-pj
2023,Johor,1271.3,1006,13089993,my-jh
2023,Kedah,1118,1014.4,6982180.8,my-kh
2023,Kelantan,1160.1,940.5,5929419.3,my-kn
2023,Melaka,1212,1020.7,3279381,my-me
2023,Negeri Sembilan,1191.8,986,5243777.7,my-ns
2023,Pahang,1197.5,958.5,3908205,my-ph
2023,Perak,1150.5,938,8109236.1,my-pk
2023,Perlis,1078.9,926.4,934378.2,my-pl
2023,Pulau Pinang,1252.6,1022.7,5655226.5,my-pg
2023,Sabah,1082.5,889.3,11468297.4,my-sa
2023,Sarawak,1158.3,891.5,8010603.3,my-sk
2023,Selangor,1295,1046.4,22999158,my-sl
2023,Terengganu,1132.7,921.4,3860564.4,my-te
2023,W.P. Kuala Lumpur,1221.1,1063,6379451.4,my-kl
2023,W.P. Labuan,1065.4,973.4,317444.4,my-la
2023,W.P. Putrajaya,1348.5,1093.7,379768.2,my-pj
